movie_title,movie_budget,movie_domestic_gross,movie_world_gross,movie_genre,movie_imdb_rating,movie_imdb_metascore,movie_poster,movie_director,movie_star1,movie_star2,movie_star3,movie_release_date,movie_release_year
THE GIRL NEXT DOOR,"$25,000,000 ","$14,589,444 ","$31,635,150 ",romance,6.7,47,"https://m.media-amazon.com/images/M/MV5BMTQ0ODIyMzE1N15BMl5BanBnXkFtZTcwODEwODczMw@@._V1_UX67_CR0,0,67,98_AL_.jpg",Luke Greenfield,Emile Hirsch,Nicholas Downs,Elisha Cuthbert,9-Apr,2004
THE NOTEBOOK,"$30,000,000.00 ","$81,001,787.00 ","$115,937,163.00 ",romance,7.8,53,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Nick Cassavetes,Gena Rowlands,James Garner,Rachel McAdams,25-Jun,2004
THE TERMINAL,"$75,000,000.00 ","$77,073,959.00 ","$218,673,959.00 ",romance,7.4,55,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Steven Spielberg,Tom Hanks,Catherine Zeta-Jones,Chi McBride,18-Jun,2004
KING KONG,"$207,000,000.00 ","$218,080,025.00 ","$550,517,357.00 ",romance,7.2,81,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Peter Jackson,Naomi Watts,Jack Black,Adrien Brody,14-Dec,2005
MEMOIRS OF A GEISHA,"$85,000,000.00 ","$57,010,853.00 ","$161,510,853.00 ",romance,7.3,54,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Rob Marshall,Ziyi Zhang,Ken Watanabe,Michelle Yeoh,23-Dec,2005
PRIDE & PREJUDICE,"$28,000,000.00 ","$38,372,662.00 ","$126,549,607.00 ",romance,7.8,82,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Joe Wright,Keira Knightley,Matthew Macfadyen,Brenda Blethyn,23-Nov,2005
THE PHANTOM OF THE OPERA,"$55,000,000.00 ","$51,225,796.00 ","$153,770,052.00 ",romance,7.2,40,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Joel Schumacher,Gerard Butler,Emmy Rossum,Patrick Wilson,21-Jan,2005
WALK THE LINE,"$29,000,000.00 ","$119,519,402.00 ","$187,707,495.00 ",romance,7.8,72,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,James Mangold,Joaquin Phoenix,Reese Witherspoon,Ginnifer Goodwin,18-Nov,2005
WEDDING CRASHERS,"$40,000,000.00 ","$209,218,368.00 ","$283,218,368.00 ",romance,7,64,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,David Dobkin,Owen Wilson,Vince Vaughn,Rachel McAdams,15-Jul,2005
BROKEBACK MOUNTAIN,"$13,900,000.00 ","$83,043,761.00 ","$176,980,863.00 ",romance,7.7,87,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Ang Lee,Jake Gyllenhaal,Heath Ledger,Michelle Williams,13-Jan,2006
CLICK,"$82,500,000 ","$137,355,633 ","$237,685,089 ",romance,6.4,45,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Frank Coraci,Adam Sandler,Kate Beckinsale,Christopher Walken,23-Jun,2006
FLUSHED AWAY,"$149,000,000.00 ","$64,665,672.00 ","$179,357,126.00 ",romance,6.6,74,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Sam Fell,Hugh Jackman,Kate Winslet,Ian McKellen,3-Nov,2006
THE FOUNTAIN,"$35,000,000 ","$10,144,010 ","$15,461,638 ",romance,7.2,51,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Darren Aronofsky,Hugh Jackman,Rachel Weisz,Sean Patrick Thomas,22-Nov,2006
THE HOLIDAY,"$85,000,000.00 ","$63,280,000.00 ","$204,920,447.00 ",romance,6.9,52,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Nancy Meyers,Kate Winslet,Cameron Diaz,Jude Law,8-Dec,2006
ENCHANTED,"$85,000,000.00 ","$127,706,877.00 ","$340,384,141.00 ",romance,7.1,75,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Kevin Lima,Amy Adams,Susan Sarandon,James Marsden,21-Nov,2007
HAIRSPRAY,"$75,000,000.00 ","$118,871,849.00 ","$202,822,861.00 ",romance,6.7,81,"https://m.media-amazon.com/images/M/MV5BZmFhMzFkZTMtNmUxNS00OWQ1LTlhNjMtYzhmNTU4NmUzZDQwXkEyXkFqcGdeQXVyMTkzODUwNzk@._V1_UX67_CR0,0,67,98_AL_.jpg",Adam Shankman,John Travolta,Queen Latifah,Nikki Blonsky,20-Jul,2007
KNOCKED UP,"$27,500,000.00 ","$148,761,765.00 ","$219,265,952.00 ",romance,6.9,85,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Judd Apatow,Seth Rogen,Katherine Heigl,Paul Rudd,1-Jun,2007
LITTLE CHILDREN,"$14,000,000.00 ","$5,463,019.00 ","$14,121,177.00 ",romance,7.5,75,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Todd Field,Kate Winslet,Jennifer Connelly,Patrick Wilson,9-Feb,2007
STARDUST,"$70,000,000.00 ","$38,634,938.00 ","$137,022,245.00 ",romance,7.6,66,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Matthew Vaughn,Charlie Cox,Claire Danes,Sienna Miller,10-Aug,2007
ATONEMENT,"$30,000,000.00 ","$50,980,159.00 ","$129,779,728.00 ",romance,7.8,85,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Joe Wright,Keira Knightley,James McAvoy,Brenda Blethyn,11-Jan,2008
FORGETTING SARAH MARSHALL,"$30,000,000.00 ","$63,172,463.00 ","$105,475,310.00 ",romance,7.1,67,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Nicholas Stoller,Kristen Bell,Jason Segel,Paul Rudd,18-Apr,2008
MAMMA MIA!,"$52,000,000.00 ","$144,130,063.00 ","$592,235,962.00 ",romance,6.5,51,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Phyllida Lloyd,Meryl Streep,Pierce Brosnan,Amanda Seyfried,18-Jul,2008
SLUMDOG MILLIONAIRE,"$14,000,000 ","$141,330,703 ","$383,825,427 ",romance,8,84,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Loveleen Tandan,Dev Patel,Freida Pinto,Saurabh Shukla,25-Dec,2008
THE CURIOUS CASE OF BENJAMIN BUTTON,"$160,000,000.00 ","$127,509,326.00 ","$329,631,958.00 ",romance,7.8,70,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,David Fincher,Brad Pitt,Cate Blanchett,Tilda Swinton,25-Dec,2008
TWILIGHT,"$20,000,000 ","$15,055,091 ","$15,055,091 ",romance,5.3,56,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Catherine Hardwicke,Kristen Stewart,Robert Pattinson,Billy Burke,21-Nov,2008
HE'S JUST NOT THAT INTO YOU,"$40,000,000.00 ","$93,953,653.00 ","$181,053,657.00 ",romance,6.4,47,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Ken Kwapis,Ginnifer Goodwin,Jennifer Aniston,Jennifer Connelly,6-Feb,2009
REVOLUTIONARY ROAD,"$45,000,000.00 ","$22,951,340.00 ","$79,604,820.00 ",romance,7.3,69,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Sam Mendes,Leonardo DiCaprio,Kate Winslet,Christopher Fitzgerald,23-Jan,2009
THE PRINCESS AND THE FROG,"$105,000,000.00 ","$104,400,899.00 ","$270,997,378.00 ",romance,7.1,73,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,John Musker,(voice),(voice),(voice),11-Dec,2009
THE PROPOSAL,"$40,000,000.00 ","$163,958,031.00 ","$314,709,717.00 ",romance,6.7,48,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Anne Fletcher,Sandra Bullock,Ryan Reynolds,Mary Steenburgen,19-Jun,2009
THE READER,"$32,500,000 ","$34,194,407 ","$112,964,875 ",romance,7.6,58,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Stephen Daldry,Kate Winslet,Ralph Fiennes,Bruno Ganz,30-Jan,2009
EASY A,"$8,000,000 ","$58,401,464 ","$76,200,721 ",romance,7,72,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Will Gluck,Emma Stone,Amanda Bynes,Penn Badgley,17-Sep,2010
EAT PRAY LOVE,"$60,000,000.00 ","$80,574,010.00 ","$206,598,789.00 ",romance,5.8,50,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Ryan Murphy,Julia Roberts,Javier Bardem,Richard Jenkins,13-Aug,2010
LEAP YEAR,"$19,000,000 ","$25,918,920 ","$32,618,920 ",romance,6.4,33,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Anand Tucker,Amy Adams,Matthew Goode,Adam Scott,8-Jan,2010
NEVER LET ME GO,"$15,000,000 ","$2,434,652 ","$11,173,718 ",romance,7.1,69,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Mark Romanek,Keira Knightley,Carey Mulligan,Andrew Garfield,15-Oct,2010
SHE'S OUT OF MY LEAGUE,"$20,000,000 ","$32,010,860 ","$48,680,977 ",romance,6.4,46,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Jim Field Smith,Jay Baruchel,Alice Eve,T.J. Miller,12-Mar,2010
SHREK FOREVER AFTER,"$165,000,000.00 ","$238,736,787.00 ","$756,244,673.00 ",romance,6.3,58,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Mike Mitchell,Mike Myers,Cameron Diaz,Eddie Murphy,21-May,2010
TANGLED,"$260,000,000.00 ","$200,821,936.00 ","$583,777,242.00 ",romance,7.7,71,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Byron Howard,(voice),(voice),(voice),24-Nov,2010
VALENTINE'S DAY,"$52,000,000.00 ","$110,485,654.00 ","$217,569,328.00 ",romance,5.7,34,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Garry Marshall,Julia Roberts,Jamie Foxx,Anne Hathaway,12-Feb,2010
BLUE VALENTINE,"$1,000,000 ","$9,737,892 ","$16,566,240 ",romance,7.3,81,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Derek Cianfrance,Ryan Gosling,Michelle Williams,John Doman,28-Jan,2011
BRIDESMAIDS,"$32,500,000 ","$169,211,718 ","$289,632,023 ",romance,6.8,75,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Paul Feig,Kristen Wiig,Maya Rudolph,Rose Byrne,13-May,2011
HALL PASS,"$68,000,000.00 ","$45,060,734.00 ","$87,173,475.00 ",romance,5.9,45,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Peter Farrelly,Owen Wilson,Jason Sudeikis,Christina Applegate,25-Feb,2011
