movie_title,movie_budget,movie_domestic_gross,movie_world_gross,movie_genre,movie_tomato_audience,movie_tomato_tomatometer,movie_imdb_rating,movie_imdb_metascore,movie_average_score,movie_poster,movie_director,movie_star1,movie_star2,movie_star3,movie_release_date,movie_release_year
ABOUT TIME,"$12,000,000 ","$15,323,921 ","$85,979,738 ",romance,81,70,7.8,55,71,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Richard Curtis,Domhnall Gleeson,Rachel McAdams,Bill Nighy,8-Nov,2013
PUSS IN BOOTS,"$130,000,000.00 ","$149,260,504.00 ","$554,987,477.00 ",comedy,68,86,6.6,65,71.25,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Chris Miller,Antonio Banderas,Salma Hayek,Zach Galifianakis,28-Oct,2011
WRATH OF MAN,"$40,000,000.00 ","$27,466,489.00 ","$103,913,405.00 ",crime,90,67,7.1,57,71.25,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Guy Ritchie,Jason Statham,Holt McCallany,Josh Hartnett,7-May,2021
TENET,"$205,000,000.00 ","$58,504,105.00 ","$360,240,189.00 ",scifi,76,69,7.3,69,71.75,"https://m.media-amazon.com/images/M/MV5BMzU3YWYwNTQtZTdiMC00NjY5LTlmMTMtZDFlYTEyODBjMTk5XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",Christopher Nolan,John David Washington,Robert Pattinson,Elizabeth Debicki,3-Sep,2020
READY PLAYER ONE,"$150,000,000.00 ","$137,690,172.00 ","$579,055,653.00 ",action,77,72,7.4,64,71.75,"https://m.media-amazon.com/images/M/MV5BY2JiYTNmZTctYTQ1OC00YjU4LWEwMjYtZjkwY2Y5MDI0OTU3XkEyXkFqcGdeQXVyNTI4MzE4MDU@._V1_UX67_CR0,0,67,98_AL_.jpg",Steven Spielberg,Tye Sheridan,Olivia Cooke,Ben Mendelsohn,29-Mar,2018
THE SECRET LIFE OF WALTER MITTY,"$91,000,000.00 ","$58,236,838.00 ","$187,861,183.00 ",comedy,71,90,7.3,54,72,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Ben Stiller,Ben Stiller,Kristen Wiig,Jon Daly,25-Dec,2013
THE GENTLEMEN,"$22,000,000 ","$36,471,796 ","$113,152,222 ",crime,84,75,7.8,51,72,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Guy Ritchie,Matthew McConaughey,Charlie Hunnam,Michelle Dockery,24-Jan,2020
DOCTOR STRANGE IN THE MULTIVERSE OF MADNESS,"$200,000,000.00 ","$411,331,607.00 ","$952,224,986.00 ",horror,85,74,6.9,60,72,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Sam Raimi,Benedict Cumberbatch,Elizabeth Olsen,Chiwetel Ejiofor,6-May,2022
GODZILLA VS. KONG,"$155,000,000.00 ","$100,916,094.00 ","$468,043,852.00 ",scifi,91,75,6.3,59,72,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Adam Wingard,Alexander Skarsgård,Millie Bobby Brown,Rebecca Hall,31-Mar,2021
NIGHTMARE ALLEY,"$60,000,000.00 ","$11,338,107.00 ","$37,537,773.00 ",crime,68,81,7,70,72.25,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Guillermo del Toro,Bradley Cooper,Cate Blanchett,Toni Collette,17-Dec,2021
